time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1696750220.21579432,0.00296665,1437,0.00009589,0.00000000,0,0.00000000,829,844,27,0.00193090
1696750220.31578135,0.00426595,1413,0.00008178,0.00000000,0,0.00000000,844,861,24,0.00306971
1696750220.41561079,0.00419115,1454,0.00014510,0.00000000,0,0.00000000,861,886,28,0.00488573
1696750220.51579666,0.00544764,1449,0.00015755,0.00000000,0,0.00000000,886,896,27,0.00244654
1696750220.61572003,0.00341261,1465,0.00015717,0.00000000,0,0.00000000,896,875,22,0.00487998
1696750220.71482205,0.00387875,1425,0.00020193,0.00000000,0,0.00000000,875,837,21,0.00296638
1696750220.81578088,0.00250551,1450,0.00009529,0.00000000,0,0.00000000,837,850,22,0.00392474
1696750220.91571331,0.00541900,1467,0.00016684,0.00000000,0,0.00000000,850,860,27,0.00616849
1696750221.01482296,0.00309161,1429,0.00009740,0.00000000,0,0.00000000,860,876,27,0.00310196
1696750221.11576700,0.00452952,1452,0.00021580,0.00000000,0,0.00000000,876,855,22,0.00538746
1696750221.21568465,0.00324780,1432,0.00006882,0.00000000,0,0.00000000,855,865,15,0.00324783
1696750221.31560969,0.00288285,1437,0.00018432,0.00000000,0,0.00000000,865,861,23,0.00509518
1696750221.41573715,0.00285140,1442,0.00014696,0.00000000,0,0.00000000,861,858,21,0.00334827
1696750221.51475716,0.00327484,1408,0.00009789,0.00000000,0,0.00000000,858,861,20,0.00544004
1696750221.61582279,0.01042739,1408,0.00019197,0.00000000,0,0.00000000,861,868,12,0.00508766
1696750221.71568084,0.00162639,1378,0.00007231,0.00000000,0,0.00000000,868,869,21,0.00166461
1696750221.81566548,0.00455249,1431,0.00014090,0.00000000,0,0.00000000,869,876,23,0.00513209
1696750221.91582036,0.00356819,1364,0.00008144,0.00000000,0,0.00000000,876,889,17,0.00591391
1696750222.01576042,0.00521936,1362,0.00013376,0.00000000,0,0.00000000,889,898,19,0.00328227
1696750222.11569285,0.00661446,1431,0.00014675,0.00000000,0,0.00000000,898,905,18,0.00149379
1696750222.21586347,0.00451612,1358,0.00009324,0.00000000,0,0.00000000,905,906,15,0.00530105
1696750222.31574512,0.00390564,1330,0.00015320,0.00000000,0,0.00000000,906,918,21,0.00340455
1696750222.41562724,0.00212015,1319,0.00005488,0.00000000,0,0.00000000,918,931,20,0.00456710
1696750222.51580238,0.00351747,1250,0.00014606,0.00000000,0,0.00000000,931,906,17,0.00303315
1696750222.61570072,0.00420539,1225,0.00012121,0.00000000,0,0.00000000,906,917,20,0.00362248
1696750222.71562696,0.00348123,1135,0.00010971,0.00000000,0,0.00000000,917,930,18,0.00277935
1696750222.81475353,0.00270477,1119,0.00005851,0.00000000,0,0.00000000,930,944,15,0.00416864
1696750222.91575766,0.00151012,1086,0.00004079,0.00000000,0,0.00000000,944,955,12,0.00313012
1696750223.01563120,0.00232687,1084,0.00004375,0.00000000,0,0.00000000,955,967,17,0.00385490
1696750223.11579657,0.00170784,1055,0.00004270,0.00000000,0,0.00000000,967,968,9,0.00520167
1696750223.21572280,0.00412084,1080,0.00018134,0.00000000,0,0.00000000,968,968,20,0.00299916
1696750223.31565738,0.00276222,1138,0.00017979,0.00000000,0,0.00000000,968,971,41,0.00199337
1696750223.41474462,0.00365388,1185,0.00006076,0.00000000,0,0.00000000,971,984,22,0.00174210
1696750223.51568651,0.00208245,1280,0.00015302,0.00000000,0,0.00000000,984,968,39,0.00140718
1696750223.61564589,0.00559663,1356,0.00035599,0.00000000,0,0.00000000,968,998,60,0.00296634
1696750223.71473956,0.00144927,1425,0.00011243,0.00000000,0,0.00000000,998,1009,55,0.00239935
